id,text,term,polarity,from,to,category,polarity2,,,,,term,category,,,combine
3121,But the staff was so horrible to us.,staff,negative,8,13,,,,,,,staff,,,,staff 
3121,But the staff was so horrible to us.,,,,,service,negative,,,,,,service,,, service
2777,To be completely faircomma the only redeeming factor was the foodcomma which was above averagecomma but couldn't make up for all the other deficiencies of Teodora.,food,positive,57,61,,,,,,,food,,,,food 
2777,To be completely faircomma the only redeeming factor was the foodcomma which was above averagecomma but couldn't make up for all the other deficiencies of Teodora.,,,,,food,positive,,,,,,food,,, food
2777,To be completely faircomma the only redeeming factor was the foodcomma which was above averagecomma but couldn't make up for all the other deficiencies of Teodora.,,,,,anecdotes/miscellaneous,negative,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
1634,The food is uniformly exceptionalcomma with a very capable kitchen which will proudly whip up whatever you feel like eatingcomma whether it's on the menu or not.,food,positive,4,8,,,,,,,food,,,,food 
1634,The food is uniformly exceptionalcomma with a very capable kitchen which will proudly whip up whatever you feel like eatingcomma whether it's on the menu or not.,kitchen,positive,55,62,,,,,,,kitchen,,,,kitchen 
1634,The food is uniformly exceptionalcomma with a very capable kitchen which will proudly whip up whatever you feel like eatingcomma whether it's on the menu or not.,menu,neutral,141,145,,,,,,,menu,,,,menu 
1634,The food is uniformly exceptionalcomma with a very capable kitchen which will proudly whip up whatever you feel like eatingcomma whether it's on the menu or not.,,,,,food,positive,,,,,,food,,, food
2534,Where Gabriela personaly greets you and recommends you what to eat.,,,,,service,positive,,,,,,service,,, service
583,For those that go once and don't enjoy itcomma all I can say is that they just don't get it.,,,,,anecdotes/miscellaneous,positive,,,,,,anecdotes/miscellaneous,,, anecdotes/miscellaneous
2846,Not only was the food outstandingcomma but the little 'perks' were great.,food,positive,17,21,,,,,,,food,,,,food 
2846,Not only was the food outstandingcomma but the little 'perks' were great.,perks,positive,51,56,,,,,,,perks,,,,perks 
2846,Not only was the food outstandingcomma but the little 'perks' were great.,,,,,food,positive,,,,,,food,,, food
2846,Not only was the food outstandingcomma but the little 'perks' were great.,,,,,service,positive,,,,,,service,,, service
